Core Machinery Orders m/m,'Actual' greater than 'Forecast' is good for currency;
Tertiary Industry Activity m/m,'Actual' greater than 'Forecast' is good for currency;
German Final CPI m/m,'Actual' greater than 'Forecast' is good for currency;
PPI Input m/m,'Actual' greater than 'Forecast' is good for currency;
RPI y/y,'Actual' greater than 'Forecast' is good for currency;
Core CPI y/y,'Actual' greater than 'Forecast' is good for currency;
HPI y/y,'Actual' greater than 'Forecast' is good for currency;
PPI Output m/m,'Actual' greater than 'Forecast' is good for currency;
German 30-y Bond Auction,No consistent effect
Import Prices m/m,'Actual' greater than 'Forecast' is good for currency;
CB Leading Index m/m,'Actual' greater than 'Forecast' is good for currency;
NAHB Housing Market Index,'Actual' greater than 'Forecast' is good for currency;
Beige Book,More hawkish than expected is good for currency;
Govt Confidence Vote,-
MI Inflation Expectations,'Actual' greater than 'Forecast' is good for currency;
RICS House Price Balance,'Actual' greater than 'Forecast' is good for currency;
Home Loans m/m,-
G20 Meetings,-
BOJ Gov Kuroda Speaks,More hawkish than expected is good for currency;
Italian Trade Balance,'Actual' greater than 'Forecast' is good for currency;
BOE Credit Conditions Survey,-
Final CPI y/y,'Actual' greater than 'Forecast' is good for currency;
Final Core CPI y/y,'Actual' greater than 'Forecast' is good for currency;
ADP Non-Farm Employment Change,'Actual' greater than 'Forecast' is good for currency;
Philly Fed Manufacturing Index,'Actual' greater than 'Forecast' is good for currency;
FOMC Member Quarles Speaks,More hawkish than expected is good for currency;
BusinessNZ Manufacturing Index,'Actual' greater than 'Forecast' is good for currency;
National Core CPI y/y,'Actual' greater than 'Forecast' is good for currency;
Revised Industrial Production m/m,'Actual' greater than 'Forecast' is good for currency;
Common CPI y/y,'Actual' greater than 'Forecast' is good for currency;
Median CPI y/y,'Actual' greater than 'Forecast' is good for currency;
Trimmed CPI y/y,'Actual' greater than 'Forecast' is good for currency;
Foreign Securities Purchases,'Actual' greater than 'Forecast' is good for currency;
FOMC Member Williams Speaks,More hawkish than expected is good for currency;
Capacity Utilization Rate,'Actual' greater than 'Forecast' is good for currency;
Prelim UoM Consumer Sentiment,'Actual' greater than 'Forecast' is good for currency;
Prelim UoM Inflation Expectations,'Actual' greater than 'Forecast' is good for currency;
Rightmove HPI m/m,'Actual' greater than 'Forecast' is good for currency;
HIA New Home Sales m/m,-
GDP q/y,'Actual' greater than 'Forecast' is good for currency;
Fixed Asset Investment ytd/y,'Actual' greater than 'Forecast' is good for currency;
Industrial Production y/y,'Actual' greater than 'Forecast' is good for currency;
NBS Press Conference,-
German PPI m/m,'Actual' greater than 'Forecast' is good for currency;
German Buba Monthly Report,More hawkish than expected is good for currency;
Prime Minister May Speaks,-
BusinessNZ Services Index,'Actual' greater than 'Forecast' is good for currency;
BOJ Core CPI y/y,'Actual' greater than 'Forecast' is good for currency;
Average Earnings Index 3m/y,'Actual' greater than 'Forecast' is good for currency;
Public Sector Net Borrowing,'Actual' less than 'Forecast' is good for currency;
Claimant Count Change,'Actual' less than 'Forecast' is good for currency;
German ZEW Economic Sentiment,'Actual' greater than 'Forecast' is good for currency;
ZEW Economic Sentiment,'Actual' greater than 'Forecast' is good for currency;
Manufacturing Sales m/m,'Actual' greater than 'Forecast' is good for currency;
Wholesale Sales m/m,'Actual' greater than 'Forecast' is good for currency;
Existing Home Sales,'Actual' greater than 'Forecast' is good for currency;
CPI q/q,'Actual' greater than 'Forecast' is good for currency;
MI Leading Index m/m,'Actual' greater than 'Forecast' is good for currency;
BOJ Outlook Report,More hawkish than expected is good for currency;
Monetary Policy Statement,More hawkish than expected is good for currency;
BOJ Policy Rate,'Actual' greater than 'Forecast' is good for currency;
All Industries Activity m/m,-
BOJ Press Conference,More hawkish than expected is good for currency;
WEF Annual Meetings,-
MPC Member Broadbent Speaks,-
CBI Industrial Order Expectations,'Actual' greater than 'Forecast' is good for currency;
Core Retail Sales m/m,'Actual' greater than 'Forecast' is good for currency;
HPI m/m,'Actual' greater than 'Forecast' is good for currency;
Richmond Manufacturing Index,'Actual' greater than 'Forecast' is good for currency;
Flash Manufacturing PMI,'Actual' greater than 'Forecast' is good for currency;
Flash Services PMI,'Actual' greater than 'Forecast' is good for currency;
Employment Change,'Actual' greater than 'Forecast' is good for currency;
Credit Card Spending y/y,'Actual' greater than 'Forecast' is good for currency;
French Flash Manufacturing PMI,'Actual' greater than 'Forecast' is good for currency;
French Flash Services PMI,'Actual' greater than 'Forecast' is good for currency;
German Flash Manufacturing PMI,'Actual' greater than 'Forecast' is good for currency;
German Flash Services PMI,'Actual' greater than 'Forecast' is good for currency;
Main Refinancing Rate,'Actual' greater than 'Forecast' is good for currency;
ECB Press Conference,More hawkish than expected is good for currency;
Visitor Arrivals m/m,'Actual' greater than 'Forecast' is good for currency;
Tokyo Core CPI y/y,'Actual' greater than 'Forecast' is good for currency;
German ifo Business Climate,'Actual' greater than 'Forecast' is good for currency;
High Street Lending,-
CBI Realized Sales,'Actual' greater than 'Forecast' is good for currency;
Belgian NBB Business Climate,'Actual' greater than 'Forecast' is good for currency;
Monetary Policy Meeting Minutes,More hawkish than expected is good for currency;
SPPI y/y,'Actual' greater than 'Forecast' is good for currency;
M3 Money Supply y/y,'Actual' greater than 'Forecast' is good for currency;
Private Loans y/y,'Actual' greater than 'Forecast' is good for currency;
NAB Business Confidence,'Actual' greater than 'Forecast' is good for currency;
Spanish Unemployment Rate,'Actual' less than 'Forecast' is good for currency;
S&P/CS Composite-20 HPI y/y,'Actual' greater than 'Forecast' is good for currency;
CB Consumer Confidence,'Actual' greater than 'Forecast' is good for currency;
BRC Shop Price Index y/y,'Actual' greater than 'Forecast' is good for currency;
Trimmed Mean CPI q/q,'Actual' greater than 'Forecast' is good for currency;
French Flash GDP q/q,'Actual' greater than 'Forecast' is good for currency;
German GfK Consumer Climate,'Actual' greater than 'Forecast' is good for currency;
German Import Prices m/m,'Actual' greater than 'Forecast' is good for currency;
German Prelim CPI m/m,'Actual' greater than 'Forecast' is good for currency;
French Consumer Spending m/m,'Actual' greater than 'Forecast' is good for currency;
KOF Economic Barometer,'Actual' greater than 'Forecast' is good for currency;
Credit Suisse Economic Expectations,'Actual' greater than 'Forecast' is good for currency;
Net Lending to Individuals m/m,'Actual' greater than 'Forecast' is good for currency;
M4 Money Supply m/m,'Actual' greater than 'Forecast' is good for currency;
Mortgage Approvals,'Actual' greater than 'Forecast' is good for currency;
Italian 10-y Bond Auction,No consistent effect
Pending Home Sales m/m,'Actual' greater than 'Forecast' is good for currency;
FOMC Statement,More hawkish than expected is good for currency;
Federal Funds Rate,'Actual' greater than 'Forecast' is good for currency;
FOMC Press Conference,More hawkish than expected is good for currency;
BOJ Summary of Opinions,-
Prelim Industrial Production m/m,'Actual' greater than 'Forecast' is good for currency;
GfK Consumer Confidence,'Actual' greater than 'Forecast' is good for currency;
Import Prices q/q,'Actual' greater than 'Forecast' is good for currency;
Private Sector Credit m/m,'Actual' greater than 'Forecast' is good for currency;
Manufacturing PMI,'Actual' greater than 'Forecast' is good for currency;
Non-Manufacturing PMI,'Actual' greater than 'Forecast' is good for currency;
Housing Starts y/y,'Actual' greater than 'Forecast' is good for currency;
Nationwide HPI m/m,'Actual' greater than 'Forecast' is good for currency;
French Prelim CPI m/m,'Actual' greater than 'Forecast' is good for currency;
Spanish Flash GDP q/q,'Actual' greater than 'Forecast' is good for currency;
Spanish Flash CPI y/y,'Actual' greater than 'Forecast' is good for currency;
German Unemployment Change,'Actual' less than 'Forecast' is good for currency;
Prelim Flash GDP q/q,'Actual' greater than 'Forecast' is good for currency;
Italian Prelim GDP q/q,'Actual' greater than 'Forecast' is good for currency;
Challenger Job Cuts y/y,'Actual' less than 'Forecast' is good for currency;
RMPI m/m,'Actual' greater than 'Forecast' is good for currency;
IPPI m/m,'Actual' greater than 'Forecast' is good for currency;
Employment Cost Index q/q,'Actual' greater than 'Forecast' is good for currency;
Chicago PMI,'Actual' greater than 'Forecast' is good for currency;
New Home Sales,'Actual' greater than 'Forecast' is good for currency;
German Buba President Weidmann Speaks,-
Gov Council Member Wilkins Speaks,-
TIC Long-Term Purchases,'Actual' greater than 'Forecast' is good for currency;
PPI q/q,'Actual' greater than 'Forecast' is good for currency;
Final Manufacturing PMI,'Actual' greater than 'Forecast' is good for currency;
Caixin Manufacturing PMI,'Actual' greater than 'Forecast' is good for currency;
Commodity Prices y/y,'Actual' greater than 'Forecast' is good for currency;
SECO Consumer Climate,'Actual' greater than 'Forecast' is good for currency;
Spanish Manufacturing PMI,'Actual' greater than 'Forecast' is good for currency;
Italian Manufacturing PMI,'Actual' greater than 'Forecast' is good for currency;
French Final Manufacturing PMI,'Actual' greater than 'Forecast' is good for currency;
German Final Manufacturing PMI,'Actual' greater than 'Forecast' is good for currency;
CPI Flash Estimate y/y,'Actual' greater than 'Forecast' is good for currency;
Core CPI Flash Estimate y/y,'Actual' greater than 'Forecast' is good for currency;
Average Hourly Earnings m/m,'Actual' greater than 'Forecast' is good for currency;
Non-Farm Employment Change,'Actual' greater than 'Forecast' is good for currency;
ISM Manufacturing PMI,'Actual' greater than 'Forecast' is good for currency;
Revised UoM Consumer Sentiment,'Actual' greater than 'Forecast' is good for currency;
Construction Spending m/m,'Actual' greater than 'Forecast' is good for currency;
Final Wholesale Inventories m/m,'Actual' less than 'Forecast' is good for currency;
ISM Manufacturing Prices,'Actual' greater than 'Forecast' is good for currency;
Revised UoM Inflation Expectations,'Actual' greater than 'Forecast' is good for currency;
Total Vehicle Sales,-
Wards Total Vehicle Sales,'Actual' greater than 'Forecast' is good for currency;
Caixin Services PMI,'Actual' less than 'Forecast' is good for currency;
Spanish Unemployment Change,'Actual' less than 'Forecast' is good for currency;
