Time,Currency,Impact,Event,Actual,Forecast,Previous,Gmt time,Open,High,Low,Close,Volume,Low Impact,Medium Impact,High Impact
10.01.2019 14:30:00.00,USD,Low Impact Expected,Natural Gas Storage,-91B,-62B,-20B,1.15212,1.15259,1.15212,1.15252,784.45,'Actual' less than 'Forecast' is good for currency;,1,0,0
10.01.2019 20:30:00.00,AUD,Low Impact Expected,AIG Construction Index,42.6,,44.5,0.71811,0.71812,0.71811,0.71811,8.74,'Actual' greater than 'Forecast' is good for currency;,1,0,0
10.01.2019 20:45:00.00,NZD,Low Impact Expected,Building Consents m/m,-2.00%,,1.40%,0.67818,0.67828,0.67818,0.67818,28.6,'Actual' greater than 'Forecast' is good for currency;,1,0,0
10.01.2019 22:30:00.00,JPY,Low Impact Expected,Household Spending y/y,-0.60%,0.00%,-0.30%,108.383,108.389,108.383,108.386,17.29,'Actual' greater than 'Forecast' is good for currency;,1,0,0
10.01.2019 22:50:00.00,JPY,Low Impact Expected,Bank Lending y/y,2.40%,2.10%,2.10%,108.407,108.407,108.405,108.407,7.5,'Actual' greater than 'Forecast' is good for currency;,2,0,0
10.01.2019 22:50:00.00,JPY,Low Impact Expected,Current Account,1.44T,1.10T,1.21T,108.407,108.407,108.405,108.407,7.5,'Actual' greater than 'Forecast' is good for currency;,2,0,0
10.01.2019 23:30:00.00,AUD,High Impact Expected,Retail Sales m/m,0.40%,0.30%,0.30%,0.71835,0.71837,0.71835,0.71837,11.5,'Actual' greater than 'Forecast' is good for currency;,0,0,1
11.01.2019 04:03:00.00,JPY,Low Impact Expected,Economy Watchers Sentiment,48,50.5,51,108.280,108.280,108.263,108.272,57.9,'Actual' greater than 'Forecast' is good for currency;,1,0,0
11.01.2019 08:00:00.00,EUR,Low Impact Expected,Italian Industrial Production m/m,-1.60%,-0.30%,-0.10%,1.15260,1.15260,1.15235,1.15254,334.1,'Actual' greater than 'Forecast' is good for currency;,1,0,0
11.01.2019 08:30:00.00,GBP,High Impact Expected,GDP m/m,0.20%,0.10%,0.10%,1.27339,1.27353,1.27316,1.27317,275.46,'Actual' greater than 'Forecast' is good for currency;,4,0,2
11.01.2019 08:30:00.00,GBP,High Impact Expected,Manufacturing Production m/m,-0.30%,0.40%,-0.60%,1.27339,1.27353,1.27316,1.27317,275.46,'Actual' greater than 'Forecast' is good for currency;,4,0,2
11.01.2019 08:30:00.00,GBP,Low Impact Expected,Construction Output m/m,0.60%,0.20%,0.00%,1.27339,1.27353,1.27316,1.27317,275.46,'Actual' greater than 'Forecast' is good for currency;,4,0,2
11.01.2019 08:30:00.00,GBP,Low Impact Expected,Goods Trade Balance,-12.0B,-11.4B,-11.9B,1.27339,1.27353,1.27316,1.27317,275.46,'Actual' greater than 'Forecast' is good for currency;,4,0,2
11.01.2019 08:30:00.00,GBP,Low Impact Expected,Index of Services 3m/3m,0.30%,0.20%,0.30%,1.27339,1.27353,1.27316,1.27317,275.46,'Actual' greater than 'Forecast' is good for currency;,4,0,2
11.01.2019 08:30:00.00,GBP,Low Impact Expected,Industrial Production m/m,-0.40%,0.30%,-0.50%,1.27339,1.27353,1.27316,1.27317,275.46,'Actual' greater than 'Forecast' is good for currency;,4,0,2
11.01.2019 12:30:00.00,USD,High Impact Expected,CPI m/m,-0.10%,-0.10%,0.00%,1.15333,1.15350,1.15333,1.15349,275.74,'Actual' greater than 'Forecast' is good for currency;,0,0,2
11.01.2019 12:30:00.00,USD,High Impact Expected,Core CPI m/m,0.20%,0.20%,0.20%,1.15333,1.15350,1.15333,1.15349,275.74,'Actual' greater than 'Forecast' is good for currency;,0,0,2
11.01.2019 13:02:00.00,GBP,Low Impact Expected,NIESR GDP Estimate,0.30%,,0.30%,1.28010,1.28047,1.27997,1.28019,241.96,'Actual' greater than 'Forecast' is good for currency;,1,0,0
13.01.2019 23:09:00.00,AUD,Medium Impact Expected,MI Inflation Gauge m/m,0.40%,,0.00%,0.72034,0.72046,0.72034,0.72046,29.25,'Actual' greater than 'Forecast' is good for currency;,0,1,0
14.01.2019 06:00:00.00,EUR,Low Impact Expected,German WPI m/m,-1.20%,0.30%,0.20%,1.14785,1.14792,1.14784,1.14792,49.67,'Actual' greater than 'Forecast' is good for currency;,1,0,0
14.01.2019 09:00:00.00,EUR,Low Impact Expected,Industrial Production m/m,-1.70%,0.30%,0.10%,1.14750,1.14775,1.14749,1.14772,383.93,'Actual' greater than 'Forecast' is good for currency;,1,0,0
14.01.2019 20:00:00.00,NZD,Medium Impact Expected,NZIER Business Confidence,-17,,-30,0.68216,0.68226,0.68215,0.68224,24.22,'Actual' greater than 'Forecast' is good for currency;,0,1,0
14.01.2019 20:45:00.00,NZD,Low Impact Expected,FPI m/m,-0.20%,,-0.60%,0.68204,0.68205,0.68203,0.68204,9,'Actual' greater than 'Forecast' is good for currency;,1,0,0
14.01.2019 22:50:00.00,JPY,Low Impact Expected,M2 Money Stock y/y,2.40%,2.40%,2.30%,108.162,108.162,108.160,108.161,26.7,'Actual' greater than 'Forecast' is good for currency;,1,0,0
15.01.2019 04:59:00.00,JPY,Low Impact Expected,Prelim Machine Tool Orders y/y,-18.30%,,-17.00%,108.549,108.557,108.543,108.556,190.17,'Actual' greater than 'Forecast' is good for currency;,1,0,0
15.01.2019 06:45:00.00,EUR,Low Impact Expected,French Final CPI m/m,0.00%,0.00%,0.00%,1.14747,1.14747,1.14731,1.14732,161.66,'Actual' greater than 'Forecast' is good for currency;,2,0,0
