Time,Currency,Impact,Event,Actual,Forecast,Previous,Open,High,Low,Close,Volume,Low Impact,Medium Impact,High Impact
06.01.2019 22:50:00.00,JPY,Low Impact Expected,Monetary Base y/y,1,1.2083333333333333,1.2708333333333333,108.461,108.466,108.461,108.466,24.38,'Actual' greater than 'Forecast' is good for currency;,1,0,0
07.01.2019 06:00:00.00,EUR,Low Impact Expected,German Factory Orders m/m,1,0.2,-0.2,1.14234,1.14234,1.14224,1.14229,125.53,'Actual' greater than 'Forecast' is good for currency;,2,0,0
07.01.2019 06:00:00.00,EUR,Low Impact Expected,German Retail Sales m/m,1,0.28571428571428575,0.07142857142857144,1.14234,1.14234,1.14224,1.14229,125.53,'Actual' greater than 'Forecast' is good for currency;,2,0,0
07.01.2019 08:30:00.00,EUR,Low Impact Expected,Sentix Investor Confidence,1,1.3333333333333333,0.19999999999999998,1.14353,1.14373,1.14346,1.14370,374.4,'Actual' greater than 'Forecast' is good for currency;,1,0,0
07.01.2019 09:00:00.00,EUR,Low Impact Expected,Retail Sales m/m,1,0.33333333333333337,1.0,1.14313,1.14317,1.14292,1.14313,248.97,'Actual' greater than 'Forecast' is good for currency;,1,0,0
07.01.2019 14:00:00.00,CAD,Medium Impact Expected,Ivey PMI,1,0.9731993299832495,0.9581239530988275,1.33502,1.33505,1.33457,1.33476,136.54,'Actual' greater than 'Forecast' is good for currency;,0,1,0
07.01.2019 14:00:00.00,USD,High Impact Expected,ISM Services PMI,1,1.0347222222222223,1.0538194444444444,1.14575,1.14576,1.14559,1.14564,480.57,'Actual' greater than 'Forecast' is good for currency;,0,0,1
07.01.2019 23:30:00.00,AUD,Medium Impact Expected,Trade Balance,1,1.1295336787564767,1.0414507772020725,0.71462,0.71463,0.71461,0.71461,155.58,'Actual' greater than 'Forecast' is good for currency;,1,1,0
08.01.2019 04:07:00.00,JPY,Low Impact Expected,Consumer Confidence,1,1.002341920374707,1.0046838407494145,108.966,108.969,108.935,108.936,213.62,'Actual' greater than 'Forecast' is good for currency;,1,0,0
08.01.2019 05:45:00.00,CHF,Low Impact Expected,Unemployment Rate,1,1.0,1.0,0.98127,0.98127,0.98123,0.98123,38.15,'Actual' less than 'Forecast' is good for currency;,1,0,0
08.01.2019 06:00:00.00,EUR,Low Impact Expected,German Industrial Production m/m,1,-0.15789473684210525,0.4210526315789474,1.14436,1.14438,1.14420,1.14421,274.62,'Actual' greater than 'Forecast' is good for currency;,1,0,0
08.01.2019 06:30:00.00,CHF,Low Impact Expected,Retail Sales y/y,1,1.4,-2.0,0.98046,0.98048,0.98039,0.98048,97.05,'Actual' greater than 'Forecast' is good for currency;,1,0,0
08.01.2019 06:45:00.00,EUR,Low Impact Expected,French Trade Balance,1,0.9607843137254903,0.803921568627451,1.14467,1.14468,1.14462,1.14467,186.35,'Actual' greater than 'Forecast' is good for currency;,1,0,0
08.01.2019 07:30:00.00,GBP,Low Impact Expected,Halifax HPI m/m,1,0.22727272727272727,-0.5454545454545454,1.27720,1.27755,1.27720,1.27742,223.7,'Actual' greater than 'Forecast' is good for currency;,1,0,0
